row,name,s_name,ofs,type,typename
480,pointcontents,72803,383,6,void()
481,fabs,72817,384,6,void()
482,cvar,72822,385,6,void()
483,localcmd,72827,386,6,void()
484,nextent,72836,387,6,void()
485,particle,72844,388,6,void()
486,ChangeYaw,72853,389,6,void()
487,vectoangles,72863,390,6,void()
488,WriteByte,72875,391,6,void()
489,WriteShort,72885,392,6,void()
490,WriteCoord,72896,393,6,void()
491,WriteAngle,72907,394,6,void()
492,WriteString,72918,395,6,void()
493,WriteEntity,72930,396,6,void()
494,movetogoal,72942,397,6,void()
495,precache_file,72953,398,6,void()
496,makestatic,72967,399,6,void()
497,changelevel,72978,400,6,void()
498,cvar_set,72990,401,6,void()
499,ambientsound,72999,402,6,void()
500,precache_model2,73012,403,6,void()
501,precache_sound2,73028,404,6,void()
502,precache_file2,73044,405,6,void()
503,setspawnparms,73059,406,6,void()
504,SUB_CalcMove,73073,407,6,void()
505,SUB_CalcAngleMove,73086,408,6,void()
506,SUB_CalcMoveDone,73104,409,6,void()
507,SUB_CalcAngleMoveDone,73121,410,6,void()
508,SUB_Null,73143,411,6,void()
509,SUB_UseTargets,73152,412,6,void()
510,SUB_Remove,73167,413,6,void()
511,func000201,73178,414,6,void()
512,func000208,73189,415,6,void()
513,func000199,73200,416,6,void()
514,globaldef000508,73211,417,32770,
515,globaldef000509,73227,418,32770,
516,globaldef000510,73243,419,32770,
517,ra_next,73259,420,5,ev_field
518,ra_prev,73267,421,5,ev_field
519,idletime,73275,422,5,ev_field
520,lasttime,73284,423,5,ev_field
521,laststattime,73293,424,5,ev_field
522,statstate,73306,425,5,ev_field
523,mypos,73316,426,5,ev_field
524,wins,73322,427,5,ev_field
525,loses,73327,428,5,ev_field
526,ratio,73333,429,5,ev_field
527,motd,73339,430,5,ev_field
528,globaldef000522,73344,431,32770,
529,globaldef000523,73360,432,32770,
530,globaldef000524,73376,433,32772,
531,globaldef000525,73392,434,32772,
532,globaldef000526,73408,435,32772,
533,globaldef000527,73424,436,32770,
534,globaldef000528,73440,437,32770,
535,field000224,73456,438,5,ev_field
536,field000225,73468,439,5,ev_field
537,field000226,73480,440,5,ev_field
538,field000227,73492,441,5,ev_field
539,field000228,73504,442,5,ev_field
540,field000229,73516,443,5,ev_field
541,field000230,73528,444,5,ev_field
542,field000231,73540,445,5,ev_field
543,field000232,73552,446,5,ev_field
544,field000233,73564,447,5,ev_field
545,field000233_x,73576,447,5,ev_field
